date,volume
2015-04-24,220
2015-05-01,220
2015-05-08,220
2015-05-15,220
2015-05-22,226
2015-05-29,230
2015-06-05,233
2015-06-12,233
2015-06-19,233
2015-06-26,230
2015-07-03,230
2015-07-10,227
2015-07-17,223
2015-07-24,218
2015-07-31,214
2015-08-07,217
2015-08-14,225
2015-08-21,230
2015-08-28,235
2015-09-04,239
2015-09-11,241
2015-09-18,241
2015-09-25,241
2015-10-02,244
2015-10-09,257
2015-10-16,267
2015-10-23,280
2015-10-30,287
2015-11-06,289
2015-11-13,289
2015-11-20,284
2015-11-27,277
2015-12-04,254
2015-12-11,249
2015-12-18,259
2015-12-25,264
2016-01-01,267
2016-01-08,267
2016-01-15,262
2016-01-22,257
2016-01-29,247
2016-02-05,242
2016-02-12,252
2016-02-19,259
2016-02-26,263
2016-03-04,263
2016-03-11,261
2016-03-18,261
2016-03-25,267
2016-04-01,274
2016-04-08,279
2016-04-15,284
2016-04-22,287
2016-04-29,292
2016-05-06,327
2016-05-13,347
2016-05-20,349
2016-05-27,342
2016-06-03,337
2016-06-10,317
2016-06-17,307
2016-06-24,307
2016-07-01,312
2016-07-08,317
2016-07-15,337
2016-07-22,352
2016-07-29,357
2016-08-05,357
2016-08-12,347
2016-08-19,332
2016-08-26,332
2016-09-02,336
2016-09-09,336
2016-09-16,329
2016-09-23,322
2016-09-30,312
2016-10-07,309
2016-10-14,312
2016-10-21,307
2016-10-28,302
2016-11-04,292
2016-11-11,292
2016-11-18,300
2016-11-25,302
2016-12-02,310
2016-12-09,314
2016-12-16,319
2016-12-23,322
2016-12-30,325
2017-01-06,332
2017-01-13,332
2017-01-20,327
2017-01-27,317
2017-02-03,314
2017-02-10,337
2017-02-17,345
2017-02-24,347
2017-03-03,347
2017-03-10,347
2017-03-17,344
2017-03-24,344
2017-03-31,359
2017-04-07,382
2017-04-14,397
2017-04-21,402
2017-04-28,402
2017-05-05,402
2017-05-12,402
2017-05-19,397
2017-05-26,382
2017-06-02,382
2017-06-09,390
2017-06-16,402
2017-06-23,409
2017-06-30,414
2017-07-07,419
2017-07-14,442
2017-07-21,462
2017-07-28,472
2017-08-04,482
2017-08-11,482
2017-08-18,472
2017-08-25,452
2017-09-01,437
2017-09-08,447
2017-09-15,467
2017-09-22,474
2017-09-29,477
2017-10-06,479
2017-10-13,479
2017-10-20,467
2017-10-27,447
2017-11-03,422
2017-11-10,392
2017-11-17,367
2017-11-24,362
2017-12-01,357
2017-12-08,357
2017-12-15,362
2017-12-22,366
2017-12-29,366
2018-01-05,366
2018-01-12,371
2018-01-19,381
2018-01-26,397
2018-02-02,417
2018-02-09,432
2018-02-16,447
2018-02-23,462
2018-03-02,477
2018-03-09,484
2018-03-16,484
2018-03-23,484
2018-03-30,484
2018-04-06,492
2018-04-13,492
2018-04-20,492
2018-04-27,492
2018-05-04,492
2018-05-11,492
2018-05-18,492
2018-05-25,507
2018-06-01,510
2018-06-08,497
2018-06-15,477
2018-06-22,442
2018-06-29,417
2018-07-06,407
2018-07-13,387
2018-07-20,367
2018-07-27,347
2018-08-03,332
2018-08-10,335
2018-08-17,352
2018-08-24,357
2018-08-31,357
2018-09-07,357
2018-09-14,357
2018-09-21,357
2018-09-28,342
2018-10-05,312
2018-10-12,282
2018-10-19,262
2018-10-26,267
2018-11-02,262
2018-11-09,262
2018-11-16,262
2018-11-23,262
2018-11-30,257
2018-12-07,247
2018-12-14,239
2018-12-21,237
2018-12-28,237
2019-01-04,237
2019-01-11,237
2019-01-18,234
2019-01-25,234
2019-02-01,237
2019-02-08,240
2019-02-15,242
2019-02-22,242
2019-03-01,242
2019-03-08,242
2019-03-15,237
2019-03-22,234
2019-03-29,229
2019-04-05,227
2019-04-12,215
2019-04-19,208
2019-04-26,203
2019-05-03,213
2019-05-10,221
2019-05-17,221
2019-05-24,221
2019-05-31,218
2019-06-07,211
2019-06-14,217
2019-06-21,242
2019-06-28,267
2019-07-05,272
2019-07-12,274
2019-07-19,274
2019-07-26,262
2019-08-02,255
2019-08-09,237
2019-08-16,227
2019-08-23,217
2019-08-30,217
2019-09-06,220
2019-09-13,220
2019-09-20,220
2019-09-27,220
2019-10-04,220
2019-10-11,220
2019-10-18,225
2019-10-25,257
2019-11-01,274
2019-11-08,279
2019-11-15,279
2019-11-22,279
2019-11-29,279
2019-12-06,274
2019-12-13,259
2019-12-20,244
2019-12-27,244
2020-01-03,244
2020-01-10,239
2020-01-17,246
2020-01-24,256
2020-01-31,274
2020-02-07,309
2020-02-14,349
2020-02-21,369
2020-02-28,389
